,Día,Fecha,Hora,Local,xG,Marcador,Visitante,Asistencia,Sedes,Árbitro,Informe del partido
146,Sáb,2022-11-12,18:30 ,Schalke 04,1.9,0–2,Bayern Munich,"62,271",Veltins-Arena,Felix Zwayer,Informe del partido
147,Dom,2022-11-13,15:30 ,Mainz 05,1.8,1–1,Eint Frankfurt,"33,305",Mewa Arena,Robert Schröder,Informe del partido
148,Dom,2022-11-13,17:30 ,Freiburg,1.7,4–1,Union Berlin,"33,800",Europa-Park Stadion,Deniz Aytekin,Informe del partido
149,,,,,,,,,,,
150,Vie,2023-01-20,20:30 ,RB Leipzig,0.7,1–1,Bayern Munich,"47,069",Red Bull Arena,Daniel Siebert,Informe del partido
151,Sáb,2023-01-21,15:30 ,Union Berlin,1.0,3–1,Hoffenheim,"21,747",Stadion An der Alten Försterei,Robert Hartmann,Informe del partido
152,Sáb,2023-01-21,15:30 ,Stuttgart,1.4,1–1,Mainz 05,"45,903",Mercedes-Benz Arena,Felix Brych,Informe del partido
153,Sáb,2023-01-21,15:30 ,Bochum,0.9,3–1,Hertha BSC,"26,000",Vonovia Ruhrstadion,Martin Petersen,Informe del partido
154,Sáb,2023-01-21,15:30 ,Wolfsburg,0.7,6–0,Freiburg,"25,849",Volkswagen Arena,Felix Zwayer,Informe del partido
155,Sáb,2023-01-21,15:30 ,Eint Frankfurt,1.8,3–0,Schalke 04,"50,000",Deutsche Bank Park,Marco Fritz,Informe del partido
156,Sáb,2023-01-21,18:30 ,Köln,0.3,7–1,Werder Bremen,"50,000",RheinEnergieSTADION,Robert Schröder,Informe del partido
157,Dom,2023-01-22,15:30 ,Dortmund,1.7,4–3,Augsburg,"81,365",Signal Iduna Park,Frank Willenborg,Informe del partido
158,Dom,2023-01-22,17:30 ,M'Gladbach,2.0,2–3,Leverkusen,"53,336",Stadion im Borussia-Park,Harm Osmers,Informe del partido
159,,,,,,,,,,,
160,Mar,2023-01-24,18:30 ,Schalke 04,,,RB Leipzig,,Veltins-Arena,,Cara a cara
161,Mar,2023-01-24,20:30 ,Hoffenheim,,,Stuttgart,,PreZero Arena,,Cara a cara
162,Mar,2023-01-24,20:30 ,Hertha BSC,,,Wolfsburg,,Olympiastadion Berlin,,Cara a cara
163,Mar,2023-01-24,20:30 ,Bayern Munich,,,Köln,,Allianz Arena,,Cara a cara
164,Mié,2023-01-25,18:30 ,Mainz 05,,,Dortmund,,Mewa Arena,,Cara a cara
165,Mié,2023-01-25,20:30 ,Werder Bremen,,,Union Berlin,,Wohninvest-Weserstadion,,Cara a cara
166,Mié,2023-01-25,20:30 ,Freiburg,,,Eint Frankfurt,,Europa-Park Stadion,,Cara a cara
167,Mié,2023-01-25,20:30 ,Augsburg,,,M'Gladbach,,WWK Arena,,Cara a cara
